open_time,sigma_mean,sigma_q025,sigma_q975
2019-12-12 00:00:00+00:00,0.019004857,0.012180844,0.02801888
2019-12-13 00:00:00+00:00,0.019216543,0.012197918,0.028616758
2019-12-14 00:00:00+00:00,0.019537462,0.012612761,0.028695552
2019-12-15 00:00:00+00:00,0.019726524,0.01250726,0.029109664
2019-12-16 00:00:00+00:00,0.02013142,0.012767082,0.029279536
2019-12-17 00:00:00+00:00,0.020358628,0.01289287,0.02993008
2019-12-18 00:00:00+00:00,0.020421539,0.013014672,0.03004368
2019-12-19 00:00:00+00:00,0.020120757,0.012939637,0.029610077
2019-12-20 00:00:00+00:00,0.01979293,0.012670741,0.029375138
2019-12-21 00:00:00+00:00,0.019666247,0.01225874,0.029281221
2019-12-22 00:00:00+00:00,0.019731421,0.012412615,0.028913394
2019-12-23 00:00:00+00:00,0.019469704,0.01233568,0.028703123
2019-12-24 00:00:00+00:00,0.019171806,0.0119715035,0.028540475
2019-12-25 00:00:00+00:00,0.019010684,0.011984779,0.028668337
2019-12-26 00:00:00+00:00,0.018846465,0.011852648,0.027978474
2019-12-27 00:00:00+00:00,0.01889997,0.01206997,0.028010072
2019-12-28 00:00:00+00:00,0.019086309,0.012167052,0.027967717
2019-12-29 00:00:00+00:00,0.019351818,0.012559901,0.028196573
2019-12-30 00:00:00+00:00,0.019552412,0.012585053,0.028385606
2019-12-31 00:00:00+00:00,0.019895306,0.012697271,0.029143412
2020-01-01 00:00:00+00:00,0.020278761,0.013387564,0.029830469
2020-01-02 00:00:00+00:00,0.020808462,0.01379881,0.030182067
2020-01-03 00:00:00+00:00,0.021297326,0.013930698,0.031235104
2020-01-04 00:00:00+00:00,0.021424083,0.013873561,0.031305175
2020-01-05 00:00:00+00:00,0.021730205,0.01402897,0.032048743
2020-01-06 00:00:00+00:00,0.022212084,0.014488996,0.033118706
2020-01-07 00:00:00+00:00,0.022472981,0.014689981,0.03322511
2020-01-08 00:00:00+00:00,0.022430774,0.014846009,0.03298822
2020-01-09 00:00:00+00:00,0.02252132,0.015098003,0.032974824
2020-01-10 00:00:00+00:00,0.022374444,0.014630927,0.032817386
2020-01-11 00:00:00+00:00,0.022104783,0.014489974,0.032119937
2020-01-12 00:00:00+00:00,0.021913359,0.014213995,0.03169868
2020-01-13 00:00:00+00:00,0.021719867,0.014161657,0.032117985
2020-01-14 00:00:00+00:00,0.021666065,0.014189525,0.031889953
2020-01-15 00:00:00+00:00,0.021238515,0.013736192,0.031072233
2020-01-16 00:00:00+00:00,0.020915909,0.013748864,0.030561237
2020-01-17 00:00:00+00:00,0.020689616,0.013923382,0.030684538
2020-01-18 00:00:00+00:00,0.020439198,0.013293939,0.030458884
2020-01-19 00:00:00+00:00,0.020406833,0.0133275995,0.030056734
2020-01-20 00:00:00+00:00,0.020204993,0.013105427,0.030381275
2020-01-21 00:00:00+00:00,0.020016577,0.013204846,0.029416315
2020-01-22 00:00:00+00:00,0.020118684,0.0133029735,0.02902599
2020-01-23 00:00:00+00:00,0.020213809,0.013403734,0.029281573
2020-01-24 00:00:00+00:00,0.020147078,0.013289292,0.029031493
2020-01-25 00:00:00+00:00,0.020290093,0.013733663,0.028830502
2020-01-26 00:00:00+00:00,0.020444255,0.013654205,0.029328639
2020-01-27 00:00:00+00:00,0.020496404,0.013932929,0.029720724
2020-01-28 00:00:00+00:00,0.020432508,0.014130148,0.029254502
2020-01-29 00:00:00+00:00,0.020229656,0.013619008,0.029465182
2020-01-30 00:00:00+00:00,0.01995065,0.013304022,0.029116208
2020-01-31 00:00:00+00:00,0.019871594,0.012625841,0.029030127
2020-02-01 00:00:00+00:00,0.019790618,0.013030527,0.028799849
2020-02-02 00:00:00+00:00,0.019771049,0.012902677,0.028763663
2020-02-03 00:00:00+00:00,0.01993829,0.013062486,0.029193453
2020-02-04 00:00:00+00:00,0.020129792,0.013300698,0.02907064
2020-02-05 00:00:00+00:00,0.020308172,0.0137066115,0.029267471
2020-02-06 00:00:00+00:00,0.020413332,0.0139476145,0.029188694
2020-02-07 00:00:00+00:00,0.02058291,0.013823053,0.02973699
2020-02-08 00:00:00+00:00,0.020861777,0.014042805,0.030073294
2020-02-09 00:00:00+00:00,0.021304337,0.014586346,0.03087336
2020-02-10 00:00:00+00:00,0.02173208,0.014603011,0.03159695
2020-02-11 00:00:00+00:00,0.022063343,0.014891923,0.0318685
2020-02-12 00:00:00+00:00,0.022196084,0.015233837,0.0320488
2020-02-13 00:00:00+00:00,0.022375856,0.014685817,0.031878326
2020-02-14 00:00:00+00:00,0.02278794,0.01507614,0.032833043
2020-02-15 00:00:00+00:00,0.023229862,0.015552058,0.033373024
2020-02-16 00:00:00+00:00,0.023486556,0.015590488,0.03340677
2020-02-17 00:00:00+00:00,0.023800997,0.016002921,0.034352187
2020-02-18 00:00:00+00:00,0.024221586,0.016257377,0.035470914
2020-02-19 00:00:00+00:00,0.024603944,0.016530022,0.035600513
2020-02-20 00:00:00+00:00,0.02467655,0.01652157,0.03625726
2020-02-21 00:00:00+00:00,0.024940113,0.016398126,0.0362747
2020-02-22 00:00:00+00:00,0.025252074,0.016335063,0.036701728
2020-02-23 00:00:00+00:00,0.025788888,0.017140882,0.03730405
2020-02-24 00:00:00+00:00,0.026369836,0.017313173,0.03820202
2020-02-25 00:00:00+00:00,0.027089577,0.017704848,0.04050521
2020-02-26 00:00:00+00:00,0.02748875,0.01801958,0.040628683
2020-02-27 00:00:00+00:00,0.027424324,0.017813148,0.040259734
2020-02-28 00:00:00+00:00,0.02770499,0.018370679,0.04118429
2020-02-29 00:00:00+00:00,0.028054776,0.01816107,0.04119838
2020-03-01 00:00:00+00:00,0.028613837,0.0187416,0.042145133
2020-03-02 00:00:00+00:00,0.029291172,0.019369744,0.04423807
2020-03-03 00:00:00+00:00,0.030028734,0.019916812,0.04362152
2020-03-04 00:00:00+00:00,0.030753018,0.020233434,0.045734752
2020-03-05 00:00:00+00:00,0.031642266,0.020703893,0.046846244
2020-03-06 00:00:00+00:00,0.03265485,0.020986296,0.04915934
2020-03-07 00:00:00+00:00,0.03380846,0.022139061,0.051281754
2020-03-08 00:00:00+00:00,0.03495827,0.022683492,0.05179874
2020-03-09 00:00:00+00:00,0.03575724,0.022525586,0.054119974
2020-03-10 00:00:00+00:00,0.03675485,0.023863776,0.0559414
2020-03-11 00:00:00+00:00,0.038011603,0.024502657,0.058795106
2020-03-12 00:00:00+00:00,0.039596718,0.02535554,0.06047963
2020-03-13 00:00:00+00:00,0.040326122,0.025637466,0.060314275
2020-03-14 00:00:00+00:00,0.04022084,0.02605587,0.060481153
2020-03-15 00:00:00+00:00,0.04030418,0.026136963,0.06190654
2020-03-16 00:00:00+00:00,0.0403149,0.026584396,0.06114466
2020-03-17 00:00:00+00:00,0.040408935,0.026812334,0.061582446
2020-03-18 00:00:00+00:00,0.040199813,0.026562024,0.061634734
2020-03-19 00:00:00+00:00,0.040348347,0.02655049,0.061477326
2020-03-20 00:00:00+00:00,0.039944608,0.0261323,0.060779054
2020-03-21 00:00:00+00:00,0.039567012,0.02580538,0.060591254
2020-03-22 00:00:00+00:00,0.039546177,0.026085962,0.059532095
